date,province,country,lat,long,type,cases
2020-04-30,NA,Denmark,56.2639,9.5018,confirmed,150
2020-05-01,NA,Denmark,56.2639,9.5018,confirmed,153
2020-05-02,NA,Denmark,56.2639,9.5018,confirmed,96
2020-05-03,NA,Denmark,56.2639,9.5018,confirmed,116
2020-05-04,NA,Denmark,56.2639,9.5018,confirmed,147
2020-05-05,NA,Denmark,56.2639,9.5018,confirmed,151
2020-05-06,NA,Denmark,56.2639,9.5018,confirmed,117
2020-05-07,NA,Denmark,56.2639,9.5018,confirmed,145
2020-05-08,NA,Denmark,56.2639,9.5018,confirmed,135
2020-05-09,NA,Denmark,56.2639,9.5018,confirmed,101
2020-05-10,NA,Denmark,56.2639,9.5018,confirmed,110
2020-05-11,NA,Denmark,56.2639,9.5018,confirmed,84
2020-05-12,NA,Denmark,56.2639,9.5018,confirmed,78
2020-05-13,NA,Denmark,56.2639,9.5018,confirmed,76
2020-05-14,NA,Denmark,56.2639,9.5018,confirmed,46
2020-05-15,NA,Denmark,56.2639,9.5018,confirmed,78
2020-05-16,NA,Denmark,56.2639,9.5018,confirmed,67
2020-05-17,NA,Denmark,56.2639,9.5018,confirmed,69
2020-05-18,NA,Denmark,56.2639,9.5018,confirmed,41
2020-05-19,NA,Denmark,56.2639,9.5018,confirmed,76
2020-05-20,NA,Denmark,56.2639,9.5018,confirmed,73
2020-05-21,NA,Denmark,56.2639,9.5018,confirmed,65
2020-05-22,NA,Denmark,56.2639,9.5018,confirmed,48
2020-05-23,NA,Denmark,56.2639,9.5018,confirmed,59
2020-05-24,NA,Denmark,56.2639,9.5018,confirmed,71
2020-05-25,NA,Denmark,56.2639,9.5018,confirmed,27
2020-05-26,NA,Denmark,56.2639,9.5018,confirmed,41
2020-05-27,NA,Denmark,56.2639,9.5018,confirmed,52
2020-05-28,NA,Denmark,56.2639,9.5018,confirmed,32
2020-05-29,NA,Denmark,56.2639,9.5018,confirmed,81
2020-05-30,NA,Denmark,56.2639,9.5018,confirmed,40
2020-05-31,NA,Denmark,56.2639,9.5018,confirmed,36
2020-06-01,NA,Denmark,56.2639,9.5018,confirmed,30
2020-06-02,NA,Denmark,56.2639,9.5018,confirmed,35
2020-06-03,NA,Denmark,56.2639,9.5018,confirmed,37
2020-06-04,NA,Denmark,56.2639,9.5018,confirmed,40
2020-06-05,NA,Denmark,56.2639,9.5018,confirmed,64
2020-06-06,NA,Denmark,56.2639,9.5018,confirmed,49
2020-06-07,NA,Denmark,56.2639,9.5018,confirmed,24
2020-06-08,NA,Denmark,56.2639,9.5018,confirmed,14
2020-06-09,NA,Denmark,56.2639,9.5018,confirmed,39
2020-06-10,NA,Denmark,56.2639,9.5018,confirmed,15
2020-06-11,NA,Denmark,56.2639,9.5018,confirmed,19
2020-06-12,NA,Denmark,56.2639,9.5018,confirmed,64
2020-06-13,NA,Denmark,56.2639,9.5018,confirmed,40
2020-06-14,NA,Denmark,56.2639,9.5018,confirmed,54
2020-06-15,NA,Denmark,56.2639,9.5018,confirmed,24
2020-06-16,NA,Denmark,56.2639,9.5018,confirmed,33
2020-06-17,NA,Denmark,56.2639,9.5018,confirmed,44
2020-06-18,NA,Denmark,56.2639,9.5018,confirmed,50
2020-06-19,NA,Denmark,56.2639,9.5018,confirmed,47
2020-06-20,NA,Denmark,56.2639,9.5018,confirmed,0
2020-06-21,NA,Denmark,56.2639,9.5018,confirmed,0
2020-06-22,NA,Denmark,56.2639,9.5018,confirmed,136
2020-06-23,NA,Denmark,56.2639,9.5018,confirmed,34
2020-06-24,NA,Denmark,56.2639,9.5018,confirmed,54
2020-06-25,NA,Denmark,56.2639,9.5018,confirmed,21
2020-06-26,NA,Denmark,56.2639,9.5018,confirmed,39
2020-06-27,NA,Denmark,56.2639,9.5018,confirmed,0
2020-06-28,NA,Denmark,56.2639,9.5018,confirmed,0
2020-06-29,NA,Denmark,56.2639,9.5018,confirmed,76
2020-06-30,NA,Denmark,56.2639,9.5018,confirmed,17
2020-07-01,NA,Denmark,56.2639,9.5018,confirmed,26
2020-07-02,NA,Denmark,56.2639,9.5018,confirmed,21
2020-07-03,NA,Denmark,56.2639,9.5018,confirmed,17
2020-07-04,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-05,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-06,NA,Denmark,56.2639,9.5018,confirmed,46
2020-07-07,NA,Denmark,56.2639,9.5018,confirmed,10
2020-07-08,NA,Denmark,56.2639,9.5018,confirmed,12
2020-07-09,NA,Denmark,56.2639,9.5018,confirmed,16
2020-07-10,NA,Denmark,56.2639,9.5018,confirmed,30
2020-07-11,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-12,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-13,NA,Denmark,56.2639,9.5018,confirmed,91
2020-07-14,NA,Denmark,56.2639,9.5018,confirmed,24
2020-07-15,NA,Denmark,56.2639,9.5018,confirmed,31
2020-07-16,NA,Denmark,56.2639,9.5018,confirmed,32
2020-07-17,NA,Denmark,56.2639,9.5018,confirmed,49
2020-07-18,NA,Denmark,56.2639,9.5018,confirmed,0
2020-07-19,NA,Denmark,56.2639,9.5018,confirmed,0
