"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
1999,1,3,14,115,13.1,15.5,1.45,4.76,4.13,999,1020.7,2.6,5.2,999,99
1999,1,3,15,109,13.6,17.1,1.7,5,4.47,999,1018.5,3.5,5.2,999,99
1999,1,3,16,111,14.6,18.5,2.3,5.88,4.97,999,1015.5,4.3,5.2,999,99
1999,1,3,17,115,14.2,17.7,2.59,6.25,5.34,999,1012.5,5.2,5.2,999,99
1999,1,3,18,111,13.7,16.6,2.78,6.67,5.6,999,1009.3,5.4,5.2,999,99
1999,1,3,19,115,15.9,20.1,3.11,7.14,5.78,999,1005.8,5.9,5.2,999,99
1999,1,3,20,118,16.6,20.2,3.44,7.14,5.98,999,1002.6,6.6,5.2,999,99
1999,1,3,21,123,18.4,22.7,3.9,8.33,6.29,999,999.1,7.8,5.2,999,99
1999,1,3,22,142,13.9,18.8,4.04,8.33,6.47,999,997.8,8.4,5.2,999,99
1999,1,3,23,172,9.8,12.1,3.76,8.33,6.62,999,999.4,9.4,5.3,999,99
1999,1,4,0,142,9.1,12.5,3.44,8.33,6.47,999,996.2,9.6,5.3,999,99
1999,1,4,1,180,4.8,5.6,3.23,9.09,6.59,999,995.5,7.5,5.2,999,99
1999,1,4,2,247,4.4,6.2,3.03,9.09,6.91,999,996.4,6.9,5.2,999,99
1999,1,4,3,272,5,7.3,2.75,10,6.89,999,998.3,5,5.2,999,99
1999,1,4,4,263,8.8,11,2.37,9.09,6.45,999,999.8,3.1,5.2,999,99
1999,1,4,5,263,7.5,9.3,2.14,9.09,6.48,999,1000.5,3.1,5.2,999,99
1999,1,4,6,235,8.8,10.7,2.15,10,7.07,999,1001.6,3.5,5.2,999,99
1999,1,4,7,220,8.9,11.2,1.86,10,6.61,999,1002.6,3.6,5.2,999,99
1999,1,4,8,222,7.5,8.9,1.52,10,6.34,999,1003.8,3.5,5.2,999,99
1999,1,4,9,225,7.1,8.6,1.36,10,6.69,999,1004.2,3.2,5.1,999,99
1999,1,4,10,234,6.4,7.8,1.2,11.11,7.2,999,1005.3,3.3,5.1,999,99
1999,1,4,11,245,5.9,7,1.2,10,7.67,999,1006.2,3.2,5.1,999,99
1999,1,4,12,262,9.2,12,1.3,11.11,7.94,999,1006.9,2.9,5.1,999,99
1999,1,4,13,273,9.3,11.2,1.35,11.11,5.81,999,1007.9,1.7,5,999,99
1999,1,4,14,272,9.2,11.1,1.39,11.11,5.68,999,1009.2,0.8,5.1,999,99
1999,1,4,15,276,10.2,12.4,1.35,11.11,5.19,999,1010.1,0,5.1,999,99
1999,1,4,16,270,9.3,11.9,1.36,11.11,5.24,999,1010.5,-0.4,5.1,999,99
1999,1,4,17,248,10,12.6,1.41,11.11,5.56,999,1010.5,-0.4,5.1,999,99
1999,1,4,18,249,10.8,13,1.34,12.5,5.1,999,1010.4,-0.8,5.1,999,99
1999,1,4,19,252,9,11.4,1.29,11.11,5.18,999,1010.6,-0.7,5.1,999,99
1999,1,4,20,253,8.6,10.6,1.18,12.5,5.29,999,1011.1,-0.7,5.1,999,99
1999,1,4,21,257,8.5,11.2,1.15,12.5,4.82,999,1011.8,-0.6,5.1,999,99
1999,1,4,22,257,8.7,11.5,1.11,12.5,5.07,999,1012.6,-0.8,4.8,999,99
1999,1,4,23,267,8.4,10.8,1.16,12.5,5.03,999,1013.7,-1,4.7,999,99
1999,1,5,0,251,9,11.4,0.97,12.5,4.73,999,1014.3,-1.2,4.8,999,99
1999,1,5,1,248,9.4,11.8,1.01,12.5,5.06,999,1014.9,-1.6,4.8,999,99
1999,1,5,2,250,8.7,10.4,0.99,12.5,4.57,999,1015.1,-1.8,4.7,999,99
1999,1,5,3,246,9.3,11.2,0.88,12.5,4.52,999,1015.5,-2.2,4.8,999,99
1999,1,5,4,256,9.4,11.4,0.98,11.11,4.48,999,1015.7,-2.3,4.8,999,99
1999,1,5,5,252,9.6,11.9,0.99,11.11,4.38,999,1015.7,-2.8,4.8,999,99
1999,1,5,6,253,10.2,13.4,1.04,11.11,4.41,999,1015.9,-3.2,4.8,999,99
1999,1,5,7,251,11.2,14.3,1.09,11.11,4.46,999,1016.1,-3.5,4.8,999,99
1999,1,5,8,999,11.2,13.4,99,99,99,999,1016.6,-4,4.8,999,99
1999,1,5,9,251,10.5,13.9,1.05,11.11,4.17,999,1017.2,-4.2,4.8,999,99
1999,1,5,10,266,10.2,13.1,1.02,3.7,4.15,999,1017.6,-4.7,4.8,999,99
1999,1,5,11,265,10,12.5,99,99,99,999,1018.7,-4.9,4.8,999,99
1999,1,5,12,270,9.3,11.3,0.95,11.11,4.09,999,1019.8,-5.1,4.8,999,99
1999,1,5,13,277,10.5,13.3,0.95,11.11,4.07,999,1020.2,-5.2,4.8,999,99
1999,1,5,14,278,10,12.6,0.88,11.11,3.91,999,1020.9,-5.4,4.8,999,99
1999,1,5,15,285,9,12.9,0.78,3.57,3.84,999,1021.3,-5.3,5,999,99
1999,1,5,16,292,9,11.7,0.76,3.7,3.81,999,1021.5,-4.7,5.1,999,99
1999,1,5,17,288,8.8,11.4,0.79,3.7,3.76,999,1020.9,-4.2,5.1,999,99
1999,1,5,18,292,8.2,11,0.76,3.7,3.62,999,1020.5,-3.7,5.1,999,99
1999,1,5,19,294,6.7,9.3,0.75,3.57,3.74,999,1020.6,-3.4,5.1,999,99
1999,1,5,20,283,6.4,9,0.73,3.45,3.68,999,1021,-3.1,5.1,999,99
1999,1,5,21,276,6,8.5,0.66,10,3.88,999,1022.1,-2.9,5.1,999,99
1999,1,5,22,280,6.4,8.8,0.6,11.11,4.07,999,1023,-3,5.1,999,99
1999,1,5,23,284,5.2,6.8,0.62,10,4.46,999,1024.1,-3,5,999,99
