"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
92,1,1,1,249,5.9,7,1.2,7.7,7.3,999,1034.4,2.1,5.6,999,99
92,1,1,2,260,5.6,6.3,1.1,7.7,7.5,999,1034.3,1.7,5.6,999,99
92,1,1,3,269,5,5.9,1.1,11.1,7.6,999,1034.2,1.7,5.6,999,99
92,1,1,4,281,5.2,6.4,1,10,8.1,999,1034.1,1.7,5.6,999,99
92,1,1,5,280,5.4,6.4,1,10,8.1,999,1033.5,1.6,5.6,999,99
92,1,1,6,271,5.6,6.3,1,10,8.3,999,1033.4,1.3,5.5,999,99
92,1,1,7,277,5.5,6.2,0.9,10,8.2,999,1033.5,1.3,5.5,999,99
92,1,1,8,282,4.6,5.4,0.9,9.1,8.4,999,1033.4,0.9,5.5,999,99
92,1,1,9,281,5,5.7,0.9,9.1,8.1,999,1033,1.1,5.5,999,99
92,1,1,10,286,4.6,5.4,0.9,9.1,8.2,999,1032.9,1.2,5.5,999,99
92,1,1,11,272,4.2,4.9,0.9,9.1,8.3,999,1033,0.8,5.5,999,99
92,1,1,15,285,3.3,4,0.6,10,8.2,999,1034.4,3.9,5.5,999,99
92,1,1,16,318,3.2,3.9,0.5,9.1,7.9,999,1033.6,4.4,5.5,999,99
92,1,1,17,335,2.3,2.9,0.5,9.1,8.1,999,1033.1,5.8,5.5,999,99
92,1,1,18,18,1.9,2.4,0.5,9.1,8.1,999,1033,7.3,5.5,999,99
92,1,1,19,63,1.4,1.9,0.5,10,8.1,999,1032.9,7.1,5.5,999,99
92,1,1,20,64,2.9,3.3,0.5,8.3,8.1,999,1032.8,5.6,5.6,999,99
92,1,1,21,82,2.3,2.7,0.5,9.1,8.1,999,1032.8,4.8,5.5,999,99
92,1,1,22,89,3.8,4.2,0.5,9.1,8.2,999,1032.6,3.5,5.5,999,99
92,1,1,23,100,3.9,4.4,0.5,8.3,8.1,999,1032.8,3.5,5.5,999,99
92,1,2,0,116,3.6,4,0.5,9.1,7.7,999,1032.8,3.5,5.5,999,99
92,1,2,1,131,4.2,4.7,0.5,7.7,7.3,999,1032.1,3.6,5.5,999,99
92,1,2,2,150,3,3.7,0.4,8.3,7.4,999,1032.4,3.6,5.5,999,99
92,1,2,3,157,2.1,2.6,0.4,10,7.6,999,1032.1,3.6,5.6,999,99
92,1,2,4,162,3.3,4,0.4,9.1,7.8,999,1032,3.6,5.5,999,99
92,1,2,5,182,3.3,4,0.4,10,8,999,1031.9,3.2,5.5,999,99
92,1,2,6,203,3.2,4,0.3,10,7.9,999,1031.9,2.8,5.5,999,99
92,1,2,7,222,2,2.7,0.3,10,7.8,999,1031.9,1.6,5.4,999,99
92,1,2,8,231,4.1,4.9,0.4,10,7.7,999,1031.4,0.4,5.5,999,99
92,1,2,9,249,3.9,4.5,0.4,9.1,7.3,999,1030.6,0.4,5.5,999,99
92,1,2,10,238,3.6,4.5,0.4,9.1,7.2,999,1030.6,0.1,5.5,999,99
92,1,2,11,201,3,3.5,0.4,9.1,6.8,999,1030.6,0.4,5.5,999,99
92,1,2,12,204,5.4,6.7,0.4,8.3,6.6,999,1030.5,0.9,5.5,999,99
92,1,2,13,243,8.6,11.2,0.5,10,6.4,999,1030.5,0.8,5.5,999,99
92,1,2,14,233,6,7.5,0.4,10,5.7,999,1030.5,0.9,5.6,999,99
92,1,2,15,231,6.3,7.4,0.4,10,6.5,999,1031.2,2,5.6,999,99
92,1,2,16,242,5.7,6.5,0.3,9.1,6.8,999,1030.4,2.2,5.5,999,99
92,1,2,17,242,3.9,4.9,0.3,10,7.1,999,1029,3.7,5.5,999,99
92,1,2,18,248,7.3,9,0.3,10,7,999,1028.7,5.2,5.5,999,99
92,1,2,19,257,5.7,6.7,0.3,9.1,6.9,999,1028.4,5.9,5.5,999,99
92,1,2,20,259,4.9,5.9,0.3,9.1,7.1,999,1028.5,5.5,5.2,999,99
92,1,2,21,222,7.1,8.8,0.3,9.1,7.4,999,1028.3,5.9,5.1,999,99
92,1,2,22,216,5.9,6.8,0.3,8.3,7.5,999,1028.8,6,5.1,999,99
92,1,2,23,239,4.5,5,0.3,9.1,7.5,999,1029,5.6,5.2,999,99
92,1,3,0,250,4.4,5.1,0.3,9.1,7.4,999,1029.7,5.5,5.2,999,99
92,1,3,1,227,3.9,4.3,0.3,9.1,7.6,999,1029.7,5.2,5.5,999,99
92,1,3,2,249,3.4,4.1,0.3,7.7,7.3,999,1028.9,5.6,5.5,999,99
92,1,3,3,224,3.8,4.4,0.3,9.1,7.5,999,1029,5.1,5.5,999,99
92,1,3,4,225,5.3,6.1,0.3,10,7.5,999,1028.8,4.4,5.2,999,99
92,1,3,5,239,4,4.7,0.3,10,7.2,999,1028.3,4,5.2,999,99
92,1,3,6,240,3.7,4.1,0.3,9.1,7.6,999,1028.7,3.6,5.1,999,99
92,1,3,7,236,3.8,4.4,0.2,9.1,7.5,999,1029,3.5,5.1,999,99
92,1,3,8,255,2.1,2.6,0.2,10,7.8,999,1029.1,3.5,4.8,999,99
92,1,3,9,280,0.7,0.8,0.2,9.1,7.7,999,1028.9,3.4,4.7,999,99
92,1,3,10,309,1,1.3,0.3,9.1,7.9,999,1029,3.5,4.7,999,99
92,1,3,11,120,0.6,0.9,0.3,9.1,7.5,999,1029.6,3.6,4.8,999,99
92,1,3,12,63,0.9,1,0.3,9.1,7.3,999,1029.7,4,4.8,999,99
92,1,3,13,57,1.3,1.6,0.3,10,6.7,999,1029.7,4.4,4.8,999,99
92,1,3,14,61,4.5,5.3,0.3,9.1,6.5,999,1029.8,4.8,5.1,999,99
92,1,3,15,87,4.1,4.7,0.3,9.1,6.9,999,1029.9,5.8,5.1,999,99
92,1,3,16,76,4.1,4.7,0.3,9.1,6.9,999,1029.7,5.9,5.1,999,99
92,1,3,17,87,4.3,4.9,0.3,9.1,6.7,999,1028.8,6.2,5.2,999,99
92,1,3,18,42,5.3,6.1,0.2,8.3,6.3,999,1028.1,5.8,5.2,999,99
92,1,3,19,60,4.2,4.7,0.2,9.1,6.9,999,1028.2,5.9,5.2,999,99
92,1,3,20,66,3.4,3.8,0.3,8.3,6.7,999,1028.2,5.6,5.2,999,99
92,1,3,21,45,3.7,4,0.2,8.3,6.8,999,1027.6,5.2,5.2,999,99
92,1,3,22,63,4.6,5.5,0.3,7.7,6.9,999,1027.3,5.3,5.2,999,99
92,1,3,23,76,5.4,6.7,0.3,8.3,6.6,999,1028.1,5.8,5.2,999,99
92,1,4,0,65,6.4,8.1,0.3,8.3,6.1,999,1027.7,5.9,5.2,999,99
92,1,4,1,64,6.4,7.5,0.3,8.3,5.4,999,1028.1,5.9,5.4,999,99
