"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
90,1,1,0,149,9.5,10.8,1.1,7.1,5.5,999,1004.9,4.3,3.3,999,99
90,1,1,1,149,9.9,11.6,1.2,7.1,5.5,999,1003.1,5.4,3.3,999,99
90,1,1,2,182,7.8,9.7,1.1,7.1,5.4,999,1001.8,7,3.2,999,99
90,1,1,3,200,9.5,10.9,1,7.1,5.4,999,1000.5,8.8,3.2,999,99
90,1,1,4,199,9.9,11.8,1.1,7.1,5.5,999,999.6,8.6,3.2,999,99
90,1,1,5,202,10,11.5,1,7.1,5.7,999,998.2,8.3,3.1,999,99
90,1,1,6,208,8.2,9.4,1.1,6.7,5.7,999,997,7.6,3,999,99
90,1,1,7,203,7.7,8.6,1,7.1,5.6,999,996.1,7.2,3,999,99
90,1,1,8,201,8.5,9.6,0.9,7.1,5.7,999,995.5,7.2,3.1,999,99
90,1,1,9,217,7.8,8.5,0.8,6.7,5.8,999,993.8,6.5,3.2,999,99
90,1,1,10,219,8.3,9.6,0.8,7.1,6.2,999,993.9,6.6,3.2,999,99
90,1,1,11,232,8.3,9.7,0.7,7.7,6.2,999,993.8,5.8,3.2,999,99
90,1,1,12,239,6.5,8,0.7,7.7,6.5,999,993.9,6,3.2,999,99
90,1,1,13,249,8.1,10.3,0.6,7.7,6.2,999,994.8,5.1,3.2,999,99
90,1,1,14,266,12.6,16.3,0.8,7.1,4.6,999,995.9,4.3,3.2,999,99
90,1,1,15,275,11.1,13.9,0.9,4,4.4,999,996.2,3.7,3.2,999,99
90,1,1,16,267,11.4,14.2,0.8,3.7,4.3,999,996.3,3.6,3.2,999,99
90,1,1,17,263,12.1,14.8,0.7,3.8,4.2,999,996.1,4.2,3.2,999,99
90,1,1,18,261,14.8,19.6,0.8,4.2,4.1,999,995.5,4.7,3.2,999,99
90,1,1,19,259,15.5,19.1,1.1,4.5,4.2,999,995.9,4.1,3.2,999,99
90,1,1,20,262,16.2,21.9,1.1,4.8,4.2,999,997,3.6,3.2,999,99
90,1,1,21,261,16.6,20.9,1.1,4.8,4.3,999,998.3,2.9,3.2,999,99
90,1,1,22,267,15.6,19.1,1,4.3,4.1,999,1000.9,1.8,3.2,999,99
90,1,1,23,275,13.1,16,0.9,4.2,4.1,999,1003.8,1,3.2,999,99
90,1,2,0,306,16.1,19.4,1,4.2,4.1,999,1005.7,0.1,3.2,999,99
90,1,2,1,303,14.6,18.2,1.1,4.3,4.2,999,1008.6,-1,3.1,999,99
90,1,2,2,302,13.8,17,1,4.2,4.2,999,1010.6,-1.5,3.1,999,99
90,1,2,3,289,12.4,15.4,0.8,4.2,4.1,999,1012.3,-1.7,3.2,999,99
90,1,2,4,280,11.5,14.8,0.7,3.7,4.2,999,1013.5,-1.9,3.2,999,99
90,1,2,5,275,11.4,15.5,0.7,3.7,4,999,1014.9,-2.1,3.2,999,99
90,1,2,6,280,11.6,14.2,0.6,3.6,4.2,999,1015.7,-2.3,3.2,999,99
90,1,2,7,262,10,12.6,0.6,3.6,4,999,1017.4,-2.5,3.2,999,99
90,1,2,8,262,12.2,14.9,0.6,3.7,4,999,1018,-2.3,3.2,999,99
90,1,2,9,265,12.3,15.3,0.6,3.4,3.9,999,1019.3,-2.3,3.1,999,99
90,1,2,10,261,11.4,14.7,0.6,3.6,3.9,999,1020.2,-2.3,3.2,999,99
90,1,2,11,265,10.7,13.9,0.6,3.7,4,999,1021.8,-2.2,3.2,999,99
90,1,2,12,270,11,13.3,0.5,12.5,4.2,999,1022.5,-2.3,3.2,999,99
90,1,2,13,278,12,14.6,0.5,12.5,4.2,999,1023.6,-2,3.2,999,99
90,1,2,14,278,10.5,13.3,0.6,3.7,4,999,1024,-1.6,3.2,999,99
90,1,2,15,263,8.9,10.8,0.5,12.5,4.1,999,1023.6,-0.2,3.2,999,99
90,1,2,16,251,10.2,12.5,0.4,3.2,3.9,999,1022.7,0.2,3.2,999,99
90,1,2,17,241,9.8,11.9,0.5,3.6,4.1,999,1021.6,0.6,3.2,999,99
90,1,2,18,232,11.9,14,0.4,12.5,4,999,1019.6,1.4,3.2,999,99
90,1,2,19,235,10,12.1,0.4,3.2,3.9,999,1019.4,2.4,3.3,999,99
90,1,2,20,225,10.7,13.1,0.4,12.5,4.1,999,1018.7,3.3,3.4,999,99
90,1,2,21,225,9.7,11.4,0.4,12.5,4,999,1019.1,3.2,3.3,999,99
90,1,2,22,214,8.9,11.1,0.3,12.5,4,999,1019.4,3.2,3.3,999,99
90,1,2,23,214,9.5,12.3,0.4,11.1,4.7,999,1019.6,2.7,3.3,999,99
90,1,3,0,224,9.5,11.5,0.4,11.1,5,999,1020.3,2.3,3.1,999,99
90,1,3,1,229,9.4,11.8,0.4,12.5,4.6,999,1020.4,2.4,3.1,999,99
90,1,3,2,229,9.1,11,0.4,11.1,4.3,999,1020.9,2.2,3.1,999,99
90,1,3,3,227,8.1,9.8,0.3,11.1,4.3,999,1021,2.2,3.1,999,99
90,1,3,4,229,8,9.5,0.3,11.1,4.6,999,1021.5,2,3,999,99
90,1,3,5,224,8,9.6,0.3,11.1,4.9,999,1021.3,1.6,3,999,99
90,1,3,6,231,8.1,9.8,0.3,12.5,4.5,999,1021.2,1.6,2.9,999,99
90,1,3,7,228,8.2,9.6,0.2,11.1,4.6,999,1021.2,1.5,3,999,99
90,1,3,8,233,6,7.3,0.2,11.1,4,999,1021.9,1.2,2.9,999,99
90,1,3,9,254,8.5,9.8,0.2,11.1,4.6,999,1021.9,1.9,2.9,999,99
90,1,3,10,240,6.2,7.4,0.2,11.1,5,999,1022.6,1.2,2.9,999,99
90,1,3,11,262,5.5,6.9,0.2,11.1,5.3,999,1023.4,1.6,2.9,999,99
90,1,3,12,218,3.3,4,0.2,11.1,8,999,1023.7,1,2.9,999,99
90,1,3,13,214,4.7,5.7,0.2,11.1,8.4,999,1024.2,1,2.8,999,99
