"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS","TIDE"
2004,1,1,0,184,8.6,10.5,0.17,2.5,3.03,999,1014.9,5.2,5.2,999,99,99
2004,1,1,1,214,9.7,11.7,0.43,2.78,2.89,999,1014.2,5.1,5.2,0,99,99
2004,1,1,2,227,9.9,12.2,99,99,99,999,1013.8,4.8,5.2,-0.8,99,99
2004,1,1,3,232,11.8,14.5,0.96,3.45,3.34,999,1013,5.1,5.2,-0.2,99,99
2004,1,1,4,232,9.2,11.3,1,3.57,3.43,999,1013.2,5.2,5.2,-0.7,99,99
2004,1,1,5,227,10.7,12.5,0.83,3.45,3.3,999,1012.5,5.4,5.2,-0.1,99,99
2004,1,1,6,229,10.8,13.4,0.87,3.45,3.32,999,1012.3,5.8,5.2,-0.1,99,99
2004,1,1,7,249,11.4,14.4,0.95,3.45,3.45,999,1013.3,6,5.2,-1.4,99,99
2004,1,1,8,256,9.3,10.8,0.83,3.57,3.46,999,1014.2,5.5,5.2,-0.8,99,99
2004,1,1,9,290,8.5,10,0.55,3.33,3.18,999,1015.6,5.5,5.2,-1.7,99,99
2004,1,1,10,296,10.5,12.6,0.73,3.45,3.21,999,1016.8,5.2,5.1,-4,99,99
2004,1,1,11,285,10.6,13,0.81,3.7,3.49,999,1018,4.7,5.1,-3.6,99,99
2004,1,1,12,280,8.4,10.2,0.76,3.7,3.4,999,1018.9,4.3,5.1,-4,99,99
2004,1,1,13,270,10.1,12.4,0.76,3.45,3.32,999,1020.2,4,5.1,-3.6,99,99
2004,1,1,14,278,8.3,10,0.74,3.45,3.26,999,1022,4,5.1,-3.1,99,99
2004,1,1,15,278,7.1,8.9,0.66,3.13,3.21,999,1022.6,3.9,5.1,-3.6,99,99
2004,1,1,16,279,6.9,8.4,0.55,3.13,3.1,999,1022.1,4.1,5.1,-4.1,99,99
2004,1,1,17,304,7.7,9.8,0.41,3.03,3.07,999,1021.6,4.8,5.1,-3.4,99,99
2004,1,1,18,291,8,9.5,0.68,3.33,3.23,999,1021.9,5.2,5.2,-3.1,99,99
2004,1,1,19,303,7.6,8.9,0.7,3.57,3.38,999,1022,5.5,5.2,-3.6,99,99
2004,1,1,20,301,7.8,8.9,0.7,3.57,3.37,999,1022.3,5.5,5.2,-2.4,99,99
2004,1,1,21,316,9.4,11.4,0.84,3.7,3.44,999,1022.6,5.1,5.2,-2.9,99,99
2004,1,1,22,305,7.6,9.4,0.76,3.85,3.47,999,1023.6,4.7,5.2,-4.2,99,99
2004,1,1,23,307,8.4,10.4,0.74,3.45,3.37,999,1024.1,4.4,5.2,-3.6,99,99
2004,1,2,0,299,6.6,8.2,0.58,3.33,3.28,999,1024.9,4.3,5.2,-3.1,99,99
2004,1,2,1,303,6.4,7.8,0.49,2.86,3.03,999,1025,4,5.2,-3.2,99,99
2004,1,2,2,308,7.1,8.3,0.49,2.78,3.02,999,1025.2,3.9,5.2,-4,99,99
2004,1,2,3,321,6.6,7.9,0.39,2.78,3.03,999,1025.1,3.6,5.2,-3.6,99,99
2004,1,2,4,340,4.5,5.3,0.36,2.7,3.33,999,1025.8,2.9,5.2,-3.6,99,99
2004,1,2,5,327,4.4,5.3,0.33,2.56,3.77,999,1025.8,2.3,5.2,-3.2,99,99
