"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
93,1,1,0,241,7.6,8.6,0.9,10,7.4,999,1006.3,6.7,4.7,999,99
93,1,1,1,245,7.3,8.2,0.8,10,7.7,999,1006.3,7.1,4.7,999,99
93,1,1,2,243,8.1,8.9,0.8,10,8,999,1006.5,7.4,4.4,999,99
93,1,1,3,261,7.7,8.8,0.7,9.1,7.9,999,1006.5,7.8,4.4,999,99
93,1,1,4,269,7.8,8.6,0.8,9.1,7.8,999,1007,7.9,4.4,999,99
93,1,1,5,270,5,5.6,0.8,9.1,7.8,999,1007.1,7.1,4.4,999,99
93,1,1,6,281,5,5.7,0.7,9.1,7.7,999,1007.2,6.7,4.4,999,99
93,1,1,7,287,6.4,7.4,0.8,9.1,8,999,1007.9,6.6,4.7,999,99
93,1,1,8,294,7.8,8.9,0.7,9.1,7.9,999,1007.9,6,4.7,999,99
93,1,1,9,288,8.4,9.7,0.7,10,5.9,999,1007.9,5.3,4.7,999,99
93,1,1,10,286,9.9,11.7,0.7,10,5.2,999,1008.1,4.8,4.7,999,99
93,1,1,11,281,8.2,9.7,0.7,10,5,999,1008.8,4.4,4.7,999,99
93,1,1,12,277,9,11.5,0.6,10,5.5,999,1009.6,4.3,4.7,999,99
93,1,1,13,280,9.9,11.4,0.6,10,5.4,999,1010.9,4,4.7,999,99
93,1,1,14,277,10.6,12.6,0.6,10,4.7,999,1011.6,3.7,4.7,999,99
93,1,1,15,291,11.6,14.2,0.7,10,4.8,999,1012.5,3.5,4.7,999,99
93,1,1,16,289,14.8,18.5,0.9,3.7,4.3,999,1012.5,2.8,4.7,999,99
93,1,1,17,315,15.5,19.4,1,3.8,4.2,999,1013.4,1.8,4.8,999,99
93,1,1,18,312,16.6,20.8,1,3.8,4,999,1014,0.9,4.8,999,99
93,1,1,19,321,13.4,16.7,1,4.2,4.1,999,1015,0.4,4.8,999,99
93,1,1,20,309,13.8,17.6,0.9,4,4.1,999,1016.3,-0.3,4.8,999,99
93,1,1,21,322,13.9,17.5,0.9,3.7,4,999,1017,-0.9,4.8,999,99
93,1,1,22,320,11,14.6,0.7,3.7,3.9,999,1018.9,-1.2,4.8,999,99
93,1,1,23,320,12,15,0.6,3.4,3.8,999,1020.4,-1.8,4.8,999,99
93,1,2,0,313,9.4,12.7,0.6,3.2,3.7,999,1021.2,-2.5,4.8,999,99
93,1,2,1,301,11.6,14.4,0.7,3.8,3.7,999,1021.9,-3,4.8,999,99
93,1,2,2,315,9.1,12,0.5,3.2,3.7,999,1022.6,-3.9,4.8,999,99
93,1,2,3,323,10,12,0.5,3.3,3.7,999,1023.5,-4.5,4.8,999,99
93,1,2,4,318,11.8,16.4,0.6,3.6,3.6,999,1024.2,-5.1,4.8,999,99
93,1,2,5,311,10.4,14,0.6,3.7,3.7,999,1024.8,-5.5,4.8,999,99
93,1,2,6,302,12.1,14.9,0.7,3.8,3.8,999,1025.1,-6,4.7,999,99
93,1,2,7,294,9.2,12.1,0.4,3.6,3.9,999,1025.3,-6.1,4.7,999,99
93,1,2,8,284,6.6,8.6,0.3,3.1,3.8,999,1025.6,-6.1,4.7,999,99
93,1,2,9,266,7.5,9.8,0.3,9.1,4.1,999,1025.2,-5.5,4.7,999,99
93,1,2,10,276,8.6,11.4,0.3,9.1,3.7,999,1025.6,-5,4.7,999,99
