"X.YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"#yr","mo","dy","hr","mn","degT","m/s","m/s","m","sec","sec","degT","hPa","degC","degC","degC","nmi","ft"
"2007","01","01","00","00","209","2.2","3.1","0.39","5.00","4.32","999","1029.0","3.6","7.1","999.0","99.0","99.00"
"2007","01","01","01","00","184","1.6","2.3","0.37","4.76","4.33","999","1028.8","3.5","7.1","999.0","99.0","99.00"
"2007","01","01","02","00","173","2.8","4.0","0.33","4.17","4.24","999","1028.9","3.6","7.1","999.0","99.0","99.00"
"2007","01","01","03","00","183","5.6","6.7","0.32","4.17","4.19","999","1028.3","3.1","7.1","999.0","99.0","99.00"
"2007","01","01","04","00","201","6.0","7.1","0.32","2.50","3.38","999","1028.7","2.8","7.1","999.0","99.0","99.00"
"2007","01","01","05","00","163","4.4","5.2","0.32","2.50","3.37","999","1027.4","3.5","7.1","999.0","99.0","99.00"
"2007","01","01","06","00","148","5.2","6.1","0.30","2.56","3.51","999","1026.5","3.6","7.1","999.0","99.0","99.00"
"2007","01","01","07","00","142","5.6","6.9","0.35","2.63","3.14","999","1025.9","4.0","7.1","999.0","99.0","99.00"
"2007","01","01","08","00","153","6.6","8.3","0.51","2.78","3.12","999","1025.3","4.3","7.1","999.0","99.0","99.00"
"2007","01","01","09","00","165","6.9","8.4","0.60","3.23","3.27","999","1024.5","4.0","7.1","999.0","99.0","99.00"
"2007","01","01","10","00","155","7.1","8.2","0.73","3.45","3.36","999","1024.1","4.0","7.1","999.0","99.0","99.00"
"2007","01","01","11","00","138","8.5","9.7","0.85","3.85","3.53","999","1022.8","4.0","7.1","999.0","99.0","99.00"
"2007","01","01","12","00","136","8.8","10.6","0.97","3.85","3.55","999","1022.5","4.7","7.1","999.0","99.0","99.00"
"2007","01","01","13","00","128","9.8","11.8","1.10","4.17","3.78","999","1021.5","5.1","7.1","999.0","99.0","99.00"
"2007","01","01","14","00","130","11.3","13.8","1.43","4.55","4.01","999","1020.1","5.6","7.2","999.0","99.0","99.00"
"2007","01","01","15","00","134","13.0","15.9","1.91","5.00","4.64","999","1018.8","5.8","7.4","999.0","99.0","99.00"
"2007","01","01","16","00","140","13.3","16.3","1.85","5.56","4.43","999","1017.2","5.9","7.4","999.0","99.0","99.00"
"2007","01","01","17","00","136","13.1","16.4","2.07","5.26","4.70","999","1014.4","6.3","7.4","999.0","99.0","99.00"
"2007","01","01","18","00","148","9.1","11.9","1.95","5.56","4.70","999","1014.0","7.0","7.4","999.0","99.0","99.00"
"2007","01","01","19","00","168","5.3","6.3","1.63","5.56","4.68","999","1012.8","7.1","7.4","999.0","99.0","99.00"
"2007","01","01","20","00","120","4.8","5.6","1.52","5.26","4.64","999","1010.9","7.4","7.4","999.0","99.0","99.00"
"2007","01","01","21","00","121","4.6","5.6","1.44","5.26","4.78","999","1009.3","8.2","7.4","999.0","99.0","99.00"
"2007","01","01","22","00","160","5.9","6.7","1.38","5.88","4.70","999","1007.9","9.5","7.4","999.0","99.0","99.00"
"2007","01","01","23","00","152","4.1","4.8","1.39","5.88","4.97","999","1006.5","9.5","7.4","999.0","99.0","99.00"
"2007","01","02","00","00","299","6.8","8.9","1.22","5.88","4.89","999","1006.2","10.4","7.4","999.0","99.0","99.00"
"2007","01","02","01","00","76","4.1","5.2","1.33","5.88","4.89","999","1004.0","7.9","7.4","999.0","99.0","99.00"
"2007","01","02","02","00","321","3.7","5.2","1.33","5.88","4.82","999","1004.4","7.5","7.4","999.0","99.0","99.00"
"2007","01","02","03","00","322","7.4","8.5","1.19","5.26","4.91","999","1004.7","5.7","7.4","999.0","99.0","99.00"
"2007","01","02","04","00","322","5.6","7.1","1.01","5.26","4.36","999","1004.0","5.7","7.4","999.0","99.0","99.00"
"2007","01","02","05","00","312","5.7","7.0","0.87","8.33","4.60","999","1003.9","5.2","7.4","999.0","99.0","99.00"
"2007","01","02","06","00","293","6.2","6.9","0.79","7.69","4.66","999","1003.9","4.9","7.4","999.0","99.0","99.00"
"2007","01","02","07","00","305","4.3","5.2","0.74","8.33","4.50","999","1003.3","4.9","7.4","999.0","99.0","99.00"
"2007","01","02","08","00","281","6.8","8.3","0.62","8.33","4.48","999","1004.1","5.4","7.3","999.0","99.0","99.00"
"2007","01","02","09","00","285","7.7","9.3","0.74","7.69","3.89","999","1004.4","6.3","7.2","999.0","99.0","99.00"
"2007","01","02","10","00","278","8.8","10.8","0.83","3.23","3.65","999","1004.5","6.6","7.2","999.0","99.0","99.00"
"2007","01","02","11","00","281","9.7","11.5","0.96","3.57","3.58","999","1005.1","6.7","7.4","999.0","99.0","99.00"
"2007","01","02","12","00","278","10.8","13.5","0.92","3.45","3.61","999","1005.9","7.0","7.4","999.0","99.0","99.00"
"2007","01","02","13","00","282","11.0","13.4","1.00","4.00","3.66","999","1007.0","7.0","7.4","999.0","99.0","99.00"
"2007","01","02","14","00","307","13.1","16.1","1.19","4.17","3.72","999","1008.8","6.7","7.4","999.0","99.0","99.00"
"2007","01","02","15","00","308","16.3","20.0","1.56","4.55","3.98","999","1010.4","5.5","7.4","999.0","99.0","99.00"
"2007","01","02","16","00","306","11.6","14.0","1.63","4.55","4.12","999","1011.9","5.6","7.4","999.0","99.0","99.00"
"2007","01","02","17","00","302","13.4","16.9","1.65","4.55","4.11","999","1012.6","5.9","7.4","999.0","99.0","99.00"
"2007","01","02","18","00","299","11.4","13.7","1.28","4.00","3.82","999","1014.0","6.3","7.4","999.0","99.0","99.00"
"2007","01","02","19","00","300","12.0","14.7","1.24","3.85","3.73","999","1014.8","6.4","7.4","999.0","99.0","99.00"
"2007","01","02","20","00","313","11.5","13.6","1.08","4.00","3.66","999","1016.3","6.7","7.4","999.0","99.0","99.00"
"2007","01","02","21","00","312","11.7","15.3","1.14","4.00","3.71","999","1018.0","6.7","7.4","999.0","99.0","99.00"
