"X.YY","MM","DD","hh","mm","WDIR","WSPD","GST","WVHT","DPD","APD","MWD","PRES","ATMP","WTMP","DEWP","VIS","TIDE"
"#yr","mo","dy","hr","mn","degT","m/s","m/s","m","sec","sec","deg","hPa","degC","degC","degC","nmi","ft"
"2008","01","01","00","00","274","11.6","14.1","1.40","4.17","4.17","999","1015.3","4.0","4.7","-1.6","99.0","99.00"
"2008","01","01","01","00","282","10.6","12.9","1.23","4.17","4.02","999","1016.4","3.6","4.7","-1.7","99.0","99.00"
"2008","01","01","02","00","284","9.5","11.5","1.05","4.00","3.99","999","1017.8","3.3","4.8","-1.6","99.0","99.00"
"2008","01","01","03","00","282","7.3","8.7","0.85","3.45","3.79","999","1018.9","3.2","4.8","-1.7","99.0","99.00"
"2008","01","01","04","00","268","4.9","6.0","0.64","7.69","4.09","999","1019.5","2.8","4.8","-1.4","99.0","99.00"
"2008","01","01","05","00","275","1.8","2.7","0.55","7.69","4.76","999","1019.4","2.7","4.7","-2.7","99.0","99.00"
"2008","01","01","06","00","231","5.5","6.8","0.48","7.69","6.07","999","1020.3","2.0","4.7","-1.5","99.0","99.00"
"2008","01","01","07","00","242","4.6","5.3","0.39","7.69","6.11","999","1020.4","1.7","4.7","-2.1","99.0","99.00"
"2008","01","01","08","00","247","5.2","6.2","0.42","8.33","4.69","999","1021.0","1.8","4.7","-2.2","99.0","99.00"
"2008","01","01","09","00","259","5.2","5.9","0.39","8.33","5.37","999","1021.2","1.4","4.7","-2.8","99.0","99.00"
"2008","01","01","10","00","272","3.0","3.7","0.42","10.00","4.18","999","1021.2","1.8","4.7","-2.5","99.0","99.00"
"2008","01","01","11","00","225","2.9","3.5","0.38","10.00","5.31","999","1021.0","1.6","4.4","-2.7","99.0","99.00"
"2008","01","01","12","00","145","1.3","1.8","0.41","10.00","6.57","999","1020.5","1.7","4.4","-3.2","99.0","99.00"
"2008","01","01","13","00","106","3.8","4.7","0.45","9.09","6.74","999","1019.6","2.5","4.4","-3.9","99.0","99.00"
"2008","01","01","14","00","113","7.3","9.1","0.43","9.09","6.63","999","1018.1","3.1","4.3","-1.8","99.0","99.00"
"2008","01","01","15","00","117","10.1","11.8","0.73","10.00","3.71","999","1016.9","3.2","4.3","-1.8","99.0","99.00"
"2008","01","01","16","00","117","10.7","12.8","1.05","3.57","3.78","999","1014.7","3.6","4.3","-1.5","99.0","99.00"
"2008","01","01","17","00","116","10.2","12.0","1.40","4.55","4.18","999","1012.7","4.3","4.3","0.7","99.0","99.00"
"2008","01","01","18","00","116","11.2","13.3","1.67","5.00","4.42","999","1010.0","4.0","4.4","0.8","99.0","99.00"
"2008","01","01","19","00","115","8.6","10.3","1.90","5.26","4.54","999","1008.6","4.3","4.4","2.2","99.0","99.00"
"2008","01","01","20","00","118","9.0","10.8","1.75","5.88","4.75","999","1006.4","5.1","4.4","2.9","99.0","99.00"
"2008","01","01","21","00","124","11.3","13.2","2.10","5.56","4.89","999","1004.0","5.4","4.4","4.6","99.0","99.00"
"2008","01","01","22","00","249","3.7","4.9","1.65","6.67","4.82","999","1004.2","5.2","4.7","4.4","99.0","99.00"
"2008","01","01","23","00","245","2.9","3.6","1.48","5.88","5.10","999","1002.8","5.1","4.7","4.1","99.0","99.00"
"2008","01","02","00","00","236","3.1","4.4","1.38","7.14","5.18","999","1001.7","4.4","4.4","3.7","99.0","99.00"
"2008","01","02","01","00","278","9.3","11.1","1.16","7.14","5.14","999","1001.4","1.7","4.3","1.5","99.0","99.00"
"2008","01","02","02","00","279","10.1","12.2","1.15","7.14","3.99","999","1000.9","2.1","4.3","1.2","99.0","99.00"
"2008","01","02","03","00","285","10.1","12.3","1.08","3.45","4.04","999","1000.5","2.0","4.3","0.8","99.0","99.00"
"2008","01","02","04","00","280","10.2","12.4","1.13","3.45","3.91","999","1000.1","1.8","4.4","0.3","99.0","99.00"
"2008","01","02","05","00","268","9.6","11.8","1.06","7.14","4.17","999","1000.0","1.4","4.7","0.1","99.0","99.00"
"2008","01","02","06","00","262","9.2","10.9","1.05","3.45","4.09","999","999.7","1.3","4.7","-0.2","99.0","99.00"
"2008","01","02","07","00","267","9.9","11.8","1.01","7.14","4.19","999","999.8","1.4","4.7","-0.4","99.0","99.00"
"2008","01","02","08","00","272","9.8","11.6","1.04","7.69","4.04","999","1000.1","1.6","4.7","-0.4","99.0","99.00"
"2008","01","02","09","00","271","7.7","9.6","1.02","3.70","4.11","999","1000.2","1.4","4.7","-0.5","99.0","99.00"
"2008","01","02","10","00","283","8.2","9.7","0.84","7.69","3.98","999","1000.9","1.2","4.7","-1.0","99.0","99.00"
"2008","01","02","11","00","287","8.3","9.5","0.84","3.23","3.82","999","1001.6","1.3","4.7","-0.8","99.0","99.00"
"2008","01","02","12","00","333","8.0","9.4","0.86","7.69","4.15","999","1002.5","0.9","4.7","-1.1","99.0","99.00"
"2008","01","02","13","00","343","6.8","8.3","0.86","7.14","4.15","999","1003.9","0.6","4.8","-2.4","99.0","99.00"
"2008","01","02","14","00","355","7.1","9.2","0.90","7.69","4.38","999","1004.9","0.8","4.8","-3.5","99.0","99.00"
"2008","01","02","15","00","2","6.6","7.9","1.13","8.33","4.71","999","1006.2","0.8","4.8","-2.8","99.0","99.00"
"2008","01","02","16","00","322","6.7","8.1","1.19","9.09","5.17","999","1006.8","0.6","4.8","-2.6","99.0","99.00"
"2008","01","02","17","00","322","7.1","9.0","1.40","6.67","5.20","999","1006.7","0.1","4.7","-3.3","99.0","99.00"
"2008","01","02","18","00","319","7.6","8.7","1.46","6.67","4.94","999","1007.1","-0.4","4.7","-3.1","99.0","99.00"
"2008","01","02","19","00","323","7.8","9.8","1.45","6.25","4.71","999","1007.9","-0.3","4.7","-3.5","99.0","99.00"
"2008","01","02","20","00","322","8.8","10.5","1.36","6.67","4.69","999","1008.8","-0.4","4.7","-4.2","99.0","99.00"
