"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
87,1,1,0,290,8,10,2.7,11.1,8.6,999,1023.5,2.8,5.9,999,99
87,1,1,1,290,7,8,2.4,10,8,999,1024.3,2,5.9,999,99
87,1,1,2,290,6,8,2.5,11.1,8.3,999,1023.8,1.6,5.9,999,99
87,1,1,3,300,6,7,2.6,11.1,8.6,999,1024.1,1.3,6,999,99
87,1,1,4,290,5,6,2.7,12.5,8.7,999,1025.2,1,5.9,999,99
87,1,1,5,340,6,7,2.4,14.3,8.4,999,1025,0.7,5.9,999,99
87,1,1,6,10,5,6,2.4,12.5,8.8,999,1025.7,0.7,5.9,999,99
87,1,1,7,10,4,6,2.6,12.5,9.5,999,1027.1,0.5,5.9,999,99
87,1,1,8,20,7,8,2.5,12.5,9.2,999,1026.5,0.4,5.9,999,99
87,1,1,9,20,5,6,2.5,12.5,9.1,999,1027.3,0.4,5.9,999,99
87,1,1,10,40,6,7,2.4,12.5,9.1,999,1027.3,0.1,5.8,999,99
87,1,1,11,20,5,6,2.5,12.5,9,999,1027.6,0.2,5.8,999,99
87,1,1,12,0,5,6,2.4,12.5,8.5,999,1027,0.8,5.8,999,99
87,1,1,13,270,4,5,2,12.5,8.2,999,1026.5,1.3,5.8,999,99
87,1,1,14,250,3,5,1.9,12.5,7.8,999,1026.7,2.2,5.9,999,99
87,1,1,15,250,4,6,1.8,11.1,7.7,999,1026.8,2.7,5.9,999,99
87,1,1,16,210,4,6,1.6,12.5,7.6,999,1026.8,2.8,5.9,999,99
87,1,1,17,250,2,3,1.3,10,7.1,999,1026.1,2.4,6,999,99
87,1,1,18,0,0,1,1.4,12.5,7.8,999,1025.1,2.5,5.9,999,99
87,1,1,19,0,0,1,1.5,12.5,8.1,999,1024.4,2.4,5.9,999,99
87,1,1,20,0,0,0,1.4,11.1,8.4,999,1024,2.7,5.9,999,99
87,1,1,21,0,0,1,1.6,11.1,8.9,999,1023.6,2.7,5.9,999,99
87,1,1,22,80,2,3,1.5,11.1,8.7,999,1022.8,3.1,5.9,999,99
87,1,1,23,80,2,4,1.4,11.1,8.5,999,1022.2,3.5,5.9,999,99
87,1,2,0,80,4,6,1.7,11.1,8.6,999,1021.1,3.8,5.8,999,99
87,1,2,1,80,4,5,1.8,11.1,8.7,999,1021,3.9,5.9,999,99
87,1,2,2,40,5,6,1.6,11.1,8,999,1019.3,4,5.9,999,99
87,1,2,3,80,6,8,1.4,12.5,6.7,999,1018.3,4.3,5.9,999,99
87,1,2,5,80,9,11,1.2,11.1,5.4,999,1015,4,6,999,99
87,1,2,6,80,10,12,1.3,11.1,5.1,999,1013.2,3.8,6,999,99
87,1,2,7,70,11,13,1.4,4.8,4.9,999,1011.5,4,5.9,999,99
87,1,2,8,60,13,15,1.6,5.6,5.1,999,1009.2,4.3,5.9,999,99
