"YYYY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS","TIDE"
2001,1,1,0,255,13.2,16.4,1.49,4.76,4.3,999,1001.2,-1.5,4.3,-7.6,99,99
2001,1,1,1,255,14.3,17.5,1.5,4.35,4.17,999,1002,-1.9,4.3,-7.1,99,99
2001,1,1,2,263,15.8,19.9,1.68,4.76,4.31,999,1002.4,-1.9,4.3,-7.3,99,99
2001,1,1,3,267,14.4,17.5,1.64,5,4.37,999,1003.6,-2.1,4.3,-7.2,99,99
2001,1,1,4,270,13.9,17.6,1.55,4.76,4.21,999,1004.6,-2.2,4.4,-8.3,99,99
2001,1,1,5,268,12.9,15.6,1.47,4.76,4.16,999,1005.5,-2.3,4.4,-7.8,99,99
2001,1,1,6,270,12.5,15.4,1.36,4.55,4.05,999,1006.3,-2.6,4.4,-8.2,99,99
2001,1,1,7,273,12.6,15.6,1.32,4.35,4.01,999,1007.2,-2.7,4.8,-8.6,99,99
2001,1,1,8,270,13.1,16.3,1.15,4.17,3.81,999,1008,-2.9,4.8,-7.9,99,99
2001,1,1,9,271,13.9,17.1,1.36,4.35,3.87,999,1008.1,-2.7,4.8,-7.5,99,99
2001,1,1,10,271,12.9,15.3,1.3,4.55,3.95,999,1009.5,-3,4.9,-8.4,99,99
2001,1,1,11,277,13.5,16.5,1.34,4.55,3.89,999,1010.1,-2.9,5,-8,99,99
2001,1,1,12,285,12.5,15.4,1.31,4.17,3.9,999,1011.3,-3,4.9,-8.1,99,99
2001,1,1,13,292,11.6,14.7,1.15,4.35,3.75,999,1012.4,-3.3,4.8,-8.7,99,99
2001,1,1,14,290,9.2,11.5,1.21,4.17,3.87,999,1014,-3.4,4.8,-9,99,99
2001,1,1,15,272,8.7,10.5,0.98,3.85,3.65,999,1014.8,-3.1,5,-8.9,99,99
2001,1,1,16,280,9.6,11.8,0.82,3.7,3.53,999,1014.9,-2.5,5.1,-8.5,99,99
2001,1,1,17,286,8.5,10.8,0.81,3.33,3.45,999,1014.8,-1.5,5.2,-7.7,99,99
2001,1,1,18,287,8.3,9.9,0.7,3.33,3.38,999,1014.8,-0.8,5.2,-7.2,99,99
2001,1,1,19,287,8.6,10.4,0.71,3.45,3.42,999,1014.8,0.1,5.2,-7.3,99,99
2001,1,1,20,290,7.4,9.7,0.66,3.33,3.39,999,1015.6,0.8,5.2,-6.4,99,99
2001,1,1,21,298,6.6,8.2,0.69,3.23,3.33,999,1016.4,1.2,5.1,-6,99,99
2001,1,1,22,314,7.4,9.1,0.65,3.13,3.27,999,1017.1,1.2,5.1,-6.2,99,99
2001,1,1,23,317,9.1,10.6,0.74,3.23,3.35,999,1017.5,0.7,5.1,999,99,99
2001,1,2,0,318,7.8,10.2,0.81,3.33,3.43,999,1018.6,0,5.1,-7.2,99,99
