"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
89,1,1,0,309,8.5,9.8,0.2,2.9,3.3,999,1018.6,2.8,4.7,999,99
89,1,1,1,329,9,11.2,0.3,2.9,3.2,999,1020.1,1.7,4.7,999,99
89,1,1,2,326,7.4,9.9,0.3,3.1,3.4,999,1022.3,1.1,4.7,999,99
89,1,1,3,340,8.2,11.4,0.2,3,3.5,999,1022.5,0.2,4.7,999,99
89,1,1,4,349,9.6,11.4,0.3,3.2,3.4,999,1022.5,-0.7,4.7,999,99
89,1,1,5,345,9,10.6,0.4,3.3,3.5,999,1023.6,-1.6,4.7,999,99
89,1,1,6,328,7.8,9.1,0.4,3.2,3.6,999,1024.2,-2.2,4.7,999,99
89,1,1,7,321,8.3,10.1,0.4,3.1,3.4,999,1025.2,-3,4.5,999,99
89,1,1,8,335,6.7,7.9,0.3,3,3.4,999,1025.7,-3.9,4.4,999,99
89,1,1,9,350,5.8,7.1,0.3,3,3.5,999,1026.7,-4.3,4.4,999,99
89,1,1,10,357,4.8,7,0.3,4.8,3.9,999,1027,-4.7,4.4,999,99
89,1,1,11,339,4.2,5.5,0.3,6.2,4.1,999,1028.1,-5,4.4,999,99
89,1,1,12,5,4.5,5.5,0.3,5.6,4.6,999,1028.1,-5,4.4,999,99
89,1,1,13,24,4.7,5.8,0.4,5,4.6,999,1028.1,-4.7,4.4,999,99
89,1,1,14,6,4.7,6.1,0.3,5.9,4.5,999,1028.6,-4.6,4.5,999,99
89,1,1,15,31,4.6,5.8,0.4,5.9,4.5,999,1028.1,-2.7,4.8,999,99
89,1,1,16,99,5.9,7.5,0.4,5.6,4.6,999,1027.3,-1.2,4.8,999,99
89,1,1,17,115,4.8,7.1,0.4,5.3,4.5,999,1027.3,-1,5,999,99
89,1,1,18,119,4.9,6.3,0.4,5,4.4,999,1026.7,-0.7,5,999,99
89,1,1,19,111,5.4,7.1,0.5,5,4.2,999,1025.8,-0.4,4.8,999,99
89,1,1,20,124,4.2,5.2,0.5,4.3,4.3,999,1026.3,0,4.7,999,99
89,1,1,21,143,4.4,5.7,0.4,4.5,4.3,999,1025.8,0,4.7,999,99
89,1,1,22,136,4.5,6.5,0.4,4.3,4.3,999,1025.4,0,4.7,999,99
89,1,1,23,141,5.2,6.7,0.4,4.3,4.3,999,1025.1,0.3,4.5,999,99
89,1,2,0,131,5.2,6.6,0.5,4.3,4.2,999,1025.2,0.1,4.7,999,99
89,1,2,1,127,5.3,6.6,0.5,4,4,999,1025.1,0.1,4.7,999,99
89,1,2,2,138,4.8,6.3,0.5,4.3,4.1,999,1025,0.1,4.7,999,99
89,1,2,3,119,4.3,5.8,0.5,3.8,4.1,999,1024.2,0.1,4.7,999,99
89,1,2,4,127,6,7.4,0.5,4,4.2,999,1023.5,0.5,4.8,999,99
89,1,2,5,125,6.6,8.3,0.5,3.8,4,999,1022.5,1,5.1,999,99
89,1,2,6,126,5.3,7,0.5,3.8,4,999,1021.9,1.2,5.1,999,99
89,1,2,7,129,5.8,7.5,0.5,3.6,3.9,999,1021.2,1.3,5,999,99
89,1,2,8,135,6.3,7.7,0.5,3.7,4,999,1020.5,1.7,4.8,999,99
89,1,2,9,128,5.8,7,0.6,4,3.9,999,1019.6,1.7,4.7,999,99
89,1,2,10,135,5.2,6.8,0.6,4.2,4.1,999,1019.2,1.9,4.7,999,99
89,1,2,11,135,5.7,8.4,0.6,4.3,4.2,999,1018,2,4.7,999,99
89,1,2,12,142,5.9,7.3,0.6,4.5,4.2,999,1017.3,2.1,4.7,999,99
89,1,2,13,130,5.5,6.6,0.6,4.5,4.3,999,1016.5,2.4,4.7,999,99
89,1,2,14,149,5.1,6.5,0.6,4.5,4.3,999,1016.4,2.7,4.7,999,99
89,1,2,15,145,5.2,6.3,0.6,5,4.5,999,1015.9,3.1,4.7,999,99
89,1,2,16,151,3.9,4.5,0.6,5.3,4.5,999,1015,3.1,4.4,999,99
89,1,2,17,165,3,4,0.5,5.3,4.7,999,1013.3,3.2,4.4,999,99
89,1,2,18,177,3.4,4.2,0.6,5.6,4.9,999,1011.9,3.2,4.3,999,99
89,1,2,19,173,3.2,3.9,0.6,5.6,5,999,9999,2.8,4.3,999,99
89,1,2,20,196,3.2,3.7,0.6,5.6,5.1,999,1009.7,3.9,4.3,999,99
89,1,2,21,208,3.4,4,0.6,5.9,5.1,999,1009.4,3.9,4.3,999,99
89,1,2,22,198,3.2,3.8,0.7,5.9,5.4,999,1009.4,3.9,4.3,999,99
89,1,2,23,207,3.2,3.8,0.8,5.9,5.6,999,1009.1,3.5,4.3,999,99
89,1,3,0,210,5,6,0.8,5.9,5.8,999,1008.7,3.2,4.1,999,99
89,1,3,1,259,6.2,7.2,0.9,6.7,6.1,999,1008.6,2.8,4.3,999,99
89,1,3,2,258,8.7,10.2,0.7,6.7,5.8,999,1007.9,3.1,4.3,999,99
89,1,3,3,257,9.4,11.1,0.7,7.1,5.4,999,1007.7,3.1,4.3,999,99
89,1,3,4,254,8.3,9.9,0.8,7.1,5.4,999,1007.1,2.8,4.3,999,99
89,1,3,5,252,9.1,11.2,0.7,7.1,5.5,999,1007,2.9,4.3,999,99
89,1,3,6,255,7.6,9.1,0.7,7.1,5.5,999,1006.3,2.7,4.3,999,99
89,1,3,7,267,7.3,9.2,0.6,6.7,6.1,999,1006.2,2.8,4.3,999,99
89,1,3,8,254,8,9.9,0.6,7.1,6.1,999,1005.7,3.1,4.3,999,99
89,1,3,9,262,9.1,11.5,0.6,7.1,5.6,999,1005.2,2.8,4.3,999,99
89,1,3,10,272,10.6,12.5,0.7,7.7,5.5,999,1004.9,2.7,4.3,999,99
89,1,3,11,273,11.4,14,0.6,7.7,5,999,1005,2.4,4.3,999,99
89,1,3,12,277,10.5,12.7,0.7,7.7,4.8,999,1005.3,2,4.3,999,99
89,1,3,13,274,10.3,12.4,0.7,8.3,4.9,999,1005.6,1.9,4.3,999,99
89,1,3,14,316,9.9,12.2,0.6,7.7,4.8,999,1006.3,2.1,4.3,999,99
