"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
88,1,1,1,191,5.7,6.7,0.3,14.3,4.7,999,1020.1,3.9,5.1,999,99
88,1,1,2,182,8,9.3,0.4,3.6,3.8,999,1018.9,4.6,5.1,999,99
88,1,1,3,196,8.1,10.3,0.4,3,3.5,999,1019,4.7,5.1,999,99
88,1,1,4,193,7.8,8.7,0.4,2.9,3.4,999,1019,4.4,5.1,999,99
88,1,1,5,182,6.9,8.9,0.3,2.6,3.7,999,1018.9,4.3,5.1,999,99
88,1,1,6,183,7.2,8.2,0.3,12.5,4,999,1018.2,4.3,5.1,999,99
88,1,1,7,186,7.2,8.2,0.3,14.3,4.3,999,1018,4.3,5.1,999,99
88,1,1,8,187,8.4,9.6,0.3,14.3,4.2,999,1017.7,4.3,5.1,999,99
88,1,1,9,204,7.3,8.4,0.3,14.3,3.8,999,1017.7,4.3,4.8,999,99
88,1,1,10,215,7.5,8.8,0.3,2.6,3.7,999,1017.4,4.3,4.8,999,99
88,1,1,11,212,8.1,9.1,0.3,2.7,3.6,999,1017.3,4,4.8,999,99
88,1,1,12,235,7.6,8.8,0.3,2.9,3.7,999,1017.6,3.9,5.2,999,99
88,1,1,13,227,7.4,8.6,0.3,14.3,4,999,1017.4,3.9,5.2,999,99
88,1,1,14,227,7.7,8.5,0.2,14.3,4.3,999,1018,3.6,5.2,999,99
88,1,1,15,205,7.9,9.1,0.3,14.3,3.8,999,1018.1,3.9,5.2,999,99
88,1,1,16,172,7.1,8.5,0.3,14.3,3.6,999,1018.1,4,5.2,999,99
88,1,1,17,140,6.3,7.4,0.3,2.5,3.7,999,1017.4,4.4,5.2,999,99
88,1,1,18,146,6.4,7.5,0.3,14.3,3.9,999,1016.5,5,5.2,999,99
88,1,1,19,130,4.9,5.3,0.2,12.5,5,999,1016.5,5.6,5.1,999,99
88,1,1,20,167,5.7,6.6,0.2,11.1,5.1,999,1016.6,5.9,5.1,999,99
88,1,1,21,197,6.1,6.7,0.2,11.1,6,999,1017,6.2,5.1,999,99
88,1,1,22,232,4.2,5.8,0.2,14.3,6.6,999,1017.3,5.8,5.1,999,99
88,1,1,23,280,6.9,8.5,0.2,14.3,6,999,1017.9,5.9,5.1,999,99
88,1,2,0,287,7.8,9,0.3,2.8,3.9,999,1018.8,5.1,4.4,999,99
88,1,2,1,287,8.5,9.9,0.4,14.3,3.7,999,1019.4,4.3,4.7,999,99
88,1,2,2,287,11,13.6,0.4,3.1,3.5,999,1019.9,3.5,4.8,999,99
88,1,2,3,284,8.6,10.5,0.5,3.2,3.4,999,1020.6,2.5,4.6,999,99
88,1,2,4,282,8.9,10.4,0.4,3.1,3.4,999,1021,2,4.7,999,99
88,1,2,5,290,8.1,9.7,0.3,3,3.4,999,1021.6,1.3,4.6,999,99
88,1,2,6,271,11.9,14.1,0.4,2.9,3.3,999,1022,0.8,4.4,999,99
88,1,2,7,272,13.2,15.5,0.7,3.4,3.3,999,1023.1,-0.2,4.7,999,99
88,1,2,8,273,12.1,15.1,0.8,3.8,3.5,999,1024.6,-1.1,4.8,999,99
88,1,2,9,271,10.1,13.1,0.6,3.7,3.5,999,1025.3,-1.6,4.8,999,99
88,1,2,10,271,10.8,13.9,0.6,3.4,3.4,999,1025.8,-2.2,4.8,999,99
88,1,2,11,272,9.7,12.2,0.5,3.4,3.4,999,1027,-2.7,4.7,999,99
88,1,2,12,275,10.2,12.3,0.6,3.6,3.4,999,1028.1,-3.1,4.7,999,99
88,1,2,13,277,9.3,11.9,0.5,3.4,3.3,999,1029,-3.4,4.7,999,99
88,1,2,14,275,9.9,12.5,0.5,3.2,3.3,999,1029.7,-3,4.7,999,99
88,1,2,15,275,8.2,10.6,0.4,3.2,3.3,999,1030.2,-2.7,4.7,999,99
88,1,2,16,277,7.6,9.3,0.3,3.1,3.3,999,1030.3,-2.3,4.4,999,99
88,1,2,17,286,7.5,9.9,0.4,3,3.2,999,1029.8,-2,4.7,999,99
88,1,2,18,281,6.9,8.3,0.4,2.9,3.3,999,1029.5,-1.8,4.7,999,99
88,1,2,19,288,5.7,7.6,0.3,2.9,3.4,999,1029.7,-1.4,4.7,999,99
88,1,2,20,293,5.2,6.1,0.3,2.8,3.5,999,1030.3,-1.1,4.6,999,99
88,1,2,21,284,4.4,5.7,0.2,9.1,4.3,999,1031.1,-1.2,4.4,999,99
88,1,2,22,276,4.4,6,0.2,10,4.5,999,1031.4,-1.5,4.4,999,99
88,1,2,23,271,4.6,6.3,0.2,9.1,4.8,999,1031.9,-1.6,4.4,999,99
88,1,3,0,270,6.5,7.9,0.2,10,4.4,999,1032,-1.8,4.6,999,99
88,1,3,1,270,6.5,7.8,0.3,2.8,3.6,999,1032.2,-2.2,4.7,999,99
88,1,3,2,273,6.4,8,0.3,2.9,3.3,999,1032.3,-2.4,4.7,999,99
88,1,3,3,272,6.7,8.1,0.3,3,3.3,999,1032.7,-3,4.7,999,99
88,1,3,4,276,5.6,6.9,0.3,2.9,3.5,999,1032.9,-3.4,4.7,999,99
88,1,3,5,272,4.5,5.9,0.2,9.1,4.2,999,1033.5,-3.4,4.7,999,99
88,1,3,6,258,4.6,5.9,0.2,10,6.6,999,1033.5,-3.4,4.7,999,99
88,1,3,7,254,4.5,6.2,0.2,8.3,7.6,999,1034,-3.5,4.7,999,99
88,1,3,8,273,4.1,5.7,0.2,9.1,8.6,999,1034.5,-3.5,4.4,999,99
88,1,3,9,268,3.8,6.1,0.2,9.1,8.4,999,1034.5,-3.4,4.3,999,99
88,1,3,10,265,3.7,5.4,0.2,9.1,8.1,999,1035,-3.6,4.3,999,99
88,1,3,11,250,4.1,5.2,0.2,8.3,8,999,1035.2,-3.7,4.3,999,99
88,1,3,12,245,4.2,5.2,0.2,8.3,7.7,999,1035,-3.9,4.4,999,99
88,1,3,13,252,4.4,5.4,0.2,9.1,6.1,999,1035.3,-3.7,4.7,999,99
88,1,3,14,260,3.9,4.8,0.2,9.1,5.7,999,1036,-2.4,4.7,999,99
88,1,3,15,272,2.9,3.6,0.2,9.1,6.1,999,1036,-2,4.7,999,99
88,1,3,17,200,1.4,2.6,0.2,10,6.9,999,1035,-1.9,4.7,999,99
88,1,3,18,68,0.4,1.3,0.2,9.1,7,999,1033.9,-2.1,4.7,999,99
88,1,3,19,0,0,0.1,0.2,9.1,6.4,999,1033.6,-1,4.4,999,99
88,1,3,20,59,0.2,1,0.2,9.1,6.8,999,1033.5,-1.4,4.7,999,99
88,1,3,21,68,0.7,2.2,0.2,9.1,6.9,999,1033.2,-1.7,4.3,999,99
88,1,3,22,123,3.1,4.4,0.2,9.1,7.7,999,1032.9,-1.5,4.3,999,99
88,1,3,23,135,4.2,5.4,0.2,9.1,7.5,999,1032.8,-1.1,4.3,999,99
88,1,4,0,140,3.7,5.1,0.2,9.1,7.4,999,1031.9,-0.8,4.3,999,99
88,1,4,1,162,3.9,6.8,0.2,9.1,7.3,999,1030.9,-0.7,4.3,999,99
88,1,4,2,145,4.6,5.9,0.2,8.3,5.2,999,1030.2,-0.3,4.3,999,99
88,1,4,3,125,3.1,4,0.3,9.1,4.5,999,1028.8,-0.3,4.3,999,99
88,1,4,4,108,3.8,4.8,0.3,9.1,4.5,999,1027.3,0,4.4,999,99
88,1,4,5,91,4.4,5.4,0.2,2.8,3.8,999,1025.8,0.5,4.4,999,99
88,1,4,6,86,3,3.7,0.3,3,3.9,999,1024.2,1.2,4.4,999,99
88,1,4,7,86,4,4.6,0.3,2.8,3.9,999,1022.7,0.9,4.3,999,99
88,1,4,8,87,3.5,4.2,0.3,3,3.6,999,1021.3,0.9,4.3,999,99
88,1,4,9,85,3.5,4.1,0.5,3.8,3.7,999,1019.7,0.7,4.4,999,99
88,1,4,10,79,3.9,4.5,0.5,4.2,3.9,999,1018.1,0.5,4.4,999,99
88,1,4,11,77,4.4,4.9,0.7,4.8,4.2,999,1017.3,0.5,4.4,999,99
