"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
91,1,1,0,322,10.6,12.8,0.8,7.7,5,999,1029.7,-3,6.4,999,99
91,1,1,1,343,8.7,10.9,0.8,5.9,5.1,999,1031.1,-3.4,6.4,999,99
91,1,1,2,336,7.3,10.7,0.7,7.1,5,999,1031.7,-4.1,6.4,999,99
91,1,1,3,328,9.1,11.2,0.7,7.1,5.2,999,1031.8,-4.3,6.4,999,99
91,1,1,4,334,10.6,12.3,0.8,6.7,4.7,999,1032.6,-4.4,6.4,999,99
91,1,1,5,331,9.4,12,0.7,6.7,5,999,1032.9,-4.9,6.4,999,99
91,1,1,6,326,7.9,10,0.6,6.2,5.2,999,1033.7,-5.3,6.4,999,99
91,1,1,7,327,7.1,9.2,0.6,6.7,5,999,1034.8,-5.8,6.4,999,99
91,1,1,8,324,7.1,9,0.6,6.2,5,999,1035.8,-5.7,6.4,999,99
91,1,1,9,322,6.6,8.4,0.6,6.2,5.3,999,1035.9,-6.1,6.4,999,99
91,1,1,10,308,7.2,9.4,0.5,11.1,5.1,999,1036.2,-6.2,6.4,999,99
91,1,1,11,280,5.8,7.6,0.5,6.2,4.8,999,1036.7,-6.1,6.3,999,99
91,1,1,12,282,6.3,8.8,0.5,5.9,5.5,999,1037.5,-6.1,6.3,999,99
91,1,1,14,295,4.8,5.8,0.5,6.2,5.4,999,1038.1,-3.9,6.3,999,99
91,1,1,15,305,3.8,5.9,0.4,5.6,5.6,999,1038.8,-2.7,6.3,999,99
91,1,1,16,302,3.3,4.8,0.4,5.9,5.6,999,1038.2,-1.8,6.3,999,99
91,1,1,17,262,2.9,4.2,0.4,5.3,5.9,999,1037.5,-2.9,6.3,999,99
91,1,1,18,261,2.5,4.3,0.4,5.6,6,999,1036.5,-2.9,6.3,999,99
91,1,1,19,204,2.9,3.9,0.3,6.2,6.2,999,1036,-1.9,6.3,999,99
91,1,1,20,240,1.6,2.5,0.4,11.1,6.7,999,1035.9,-1.5,6.3,999,99
91,1,1,21,157,4,5.6,0.4,10,6.5,999,1036,-0.8,6.3,999,99
91,1,1,22,159,5.9,7.6,0.4,10,6.7,999,1036.3,-1.5,6.3,999,99
91,1,1,23,168,6.2,7.8,0.4,11.1,6.1,999,1036,-1,6.3,999,99
91,1,2,0,176,7.7,8.9,0.4,8.3,5.3,999,1035.6,-1.3,6.3,999,99
91,1,2,1,186,9.3,10.9,0.4,7.7,4.9,999,1035,-1.4,6.2,999,99
91,1,2,2,186,8.5,10,0.4,11.1,4.8,999,1034.4,-1.4,6.1,999,99
91,1,2,3,182,7.2,9.1,0.4,11.1,4.5,999,1034.2,-1.3,6.1,999,99
91,1,2,4,180,8,9.8,0.4,3.4,4.3,999,1033,-1.2,6,999,99
91,1,2,5,184,8,9.9,0.4,3.3,4.1,999,1031.9,-1,6,999,99
91,1,2,6,187,7.9,9.6,0.5,3.7,4,999,1031.2,-0.4,6,999,99
91,1,2,7,185,7.3,9.6,0.5,3.8,4.1,999,1030.4,0.1,6,999,99
91,1,2,8,184,6.5,8.4,0.4,3.8,4.3,999,1030.2,0.7,5.7,999,99
91,1,2,9,185,7.3,9.3,0.4,3.8,4.3,999,1028.8,1.3,5.6,999,99
91,1,2,10,180,6.8,9,0.4,11.1,4.4,999,1028.2,1.6,5.7,999,99
91,1,2,11,194,7,9,0.4,3.6,4.5,999,1027.9,2.4,5.6,999,99
91,1,2,12,204,4.8,6.2,0.4,10,4.6,999,1027.5,2.1,5.6,999,99
91,1,2,13,186,6.6,8.1,0.3,11.1,4.9,999,1027.2,2.7,5.6,999,99
91,1,2,14,198,5.4,7,0.3,11.1,4.9,999,1027.2,2.5,5.6,999,99
91,1,2,15,188,4.6,5.5,0.3,8.3,5,999,1026.7,2.9,5.6,999,99
91,1,2,16,195,5.2,6.8,0.3,10,5.3,999,1025.6,4.7,5.5,999,99
91,1,2,17,221,3.7,5.9,0.3,11.1,5.4,999,1025,6.2,5.5,999,99
91,1,2,18,226,5.4,6.6,0.3,11.1,4.7,999,1023.9,7.2,5.6,999,99
91,1,2,19,259,2,2.8,0.3,11.1,4.9,999,1023.2,7.3,5.6,999,99
91,1,2,20,278,1.9,2.1,0.3,10,5.5,999,1022.6,7.4,5.6,999,99
91,1,2,21,292,2.7,3.1,0.3,10,5.7,999,1023.3,7.5,5.6,999,99
91,1,2,22,286,4,4.9,0.3,10,6.5,999,1023.4,7.2,5.6,999,99
91,1,2,23,305,3.9,4.9,0.3,10,6.5,999,1023.4,7.1,5.6,999,99
91,1,3,0,316,3.2,3.8,0.3,10,6.5,999,1023.4,6.4,5.5,999,99
91,1,3,1,308,3.7,4.3,0.2,8.3,6.4,999,1023.4,5.9,5.6,999,99
91,1,3,2,342,5.3,7.1,0.2,11.1,6.6,999,1022.5,5.5,5.6,999,99
91,1,3,3,3,7.3,8.6,0.2,10,6.3,999,1022.5,4.4,5.6,999,99
91,1,3,4,352,7.3,8.6,0.3,11.1,5.3,999,1022,3.5,5.6,999,99
91,1,3,5,349,6.4,7.4,0.3,6.2,4.6,999,1022.1,2.9,5.6,999,99
91,1,3,6,353,6.1,7.1,0.3,6.2,4.9,999,1022.3,2.4,5.6,999,99
91,1,3,7,341,7.8,8.9,0.3,5.9,5,999,1022.5,2.1,5.6,999,99
91,1,3,8,350,6.2,7.2,0.3,10,5.3,999,1022.3,2.3,5.6,999,99
91,1,3,9,328,4.7,5.7,0.3,10,5.6,999,1022,2.2,5.6,999,99
91,1,3,10,327,6.8,7.6,0.3,6.2,5.6,999,1022.3,2.2,5.6,999,99
91,1,3,11,329,8.1,9,0.3,9.1,4.9,999,1022.6,1.9,5.6,999,99
91,1,3,12,324,8,9.7,0.3,5.9,4.6,999,1023.4,1.7,5.6,999,99
91,1,3,13,331,9.1,10.4,0.4,6.2,4.2,999,1023.5,2,5.7,999,99
91,1,3,14,337,9.1,11.1,0.5,5.6,4.2,999,1024.2,1.7,5.7,999,99
91,1,3,15,348,9.5,10.9,0.6,5.6,4.1,999,1025,1.6,6,999,99
91,1,3,16,349,8.4,9.9,0.6,4.5,4.2,999,1025.1,1.7,5.9,999,99
91,1,3,17,356,6.5,7.9,0.6,4.5,4.1,999,1024.9,1.5,5.9,999,99
91,1,3,18,15,4.8,6.5,0.7,4.8,4.5,999,1024.2,2.5,6,999,99
91,1,3,19,34,4.7,6.3,0.7,4.8,4.6,999,1024.3,2.5,6,999,99
91,1,3,20,336,3.4,4.5,0.8,5.3,5,999,1024.9,2.5,6,999,99
91,1,3,21,346,3.6,4.5,0.7,5.6,5.1,999,1025.2,2.1,6,999,99
91,1,3,22,329,4,5,0.8,5.6,5.2,999,1025.7,2,5.9,999,99
91,1,3,23,347,3.6,4.4,0.8,5.9,5.5,999,1025.8,1.7,5.9,999,99
91,1,4,0,312,3.5,4.4,0.9,5.9,5.6,999,1026.5,1.5,5.9,999,99
91,1,4,1,307,3.5,4.4,0.9,5.9,5.5,999,1026.9,1.4,5.9,999,99
91,1,4,2,322,9,10.4,0.9,5.9,5.4,999,1027.5,-0.1,5.9,999,99
91,1,4,3,323,6.3,7.8,0.8,5.9,5.1,999,1028.1,-0.9,5.9,999,99
91,1,4,4,309,4.1,5.7,0.7,5.9,5.2,999,1027.9,-0.9,5.9,999,99
91,1,4,5,309,4.3,5.7,0.7,5.6,5.3,999,1027.3,-1.3,6,999,99
91,1,4,6,322,5.1,6.8,0.6,5.6,5.2,999,1027.1,-1.5,5.9,999,99
