"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
97,1,3,18,341,4.1,5.2,0.35,7.14,4.13,104,1001.7,3.7,6.2,999,99
97,1,3,19,358,5.6,6.3,0.44,2.56,3.63,100,1002.4,2.9,6,999,99
97,1,3,20,354,4,5.1,0.56,3.03,3.52,24,1003.1,2.4,6,999,99
97,1,3,21,357,5.3,6.6,0.69,4,3.93,39,1003.9,2.3,5.9,999,99
97,1,3,22,6,6.5,8,0.88,4.76,4.04,42,1004.8,2.1,6,999,99
97,1,3,23,7,7.4,10.1,0.99,5,4.11,38,1005.6,2.1,6,999,99
97,1,4,0,3,5.9,7.2,1.08,5.26,4.41,35,1006.9,2,6,999,99
97,1,4,1,348,4.3,5.3,1.01,5.56,4.3,32,1008,2,6,999,99
97,1,4,2,360,4.3,5.6,0.92,5.26,4.37,33,1008.6,2,6,999,99
97,1,4,3,355,4,5.2,0.89,5.26,4.54,33,1009.4,2,6,999,99
97,1,4,4,358,4.1,5.4,0.8,5,4.4,38,1010,2,6,999,99
97,1,4,5,5,4.6,5.6,0.75,4.76,4.47,45,1010.2,2.1,6,999,99
97,1,4,6,360,3.4,4.8,0.73,5.26,4.43,45,1010.9,2.1,6,999,99
97,1,4,7,2,3.7,4.8,0.71,5.26,4.33,55,1011.8,2.4,6,999,99
97,1,4,8,348,2,2.7,0.68,5.26,4.33,57,1012.7,2.4,6,999,99
97,1,4,9,352,1.6,2,0.72,5.26,4.48,57,1012.7,2.4,6,999,99
97,1,4,10,330,1.7,2.6,0.63,5.26,4.39,56,1013.4,2.5,6,999,99
97,1,4,11,301,2.2,2.9,0.6,5,4.36,63,1014.1,2.4,6,999,99
97,1,4,12,319,2.1,2.8,0.59,5,4.6,63,1014.3,2.7,5.9,999,99
97,1,4,13,286,2.1,3,0.55,5,4.57,59,1015,2.9,6,999,99
97,1,4,14,242,3,3.9,0.56,5.26,4.65,60,1016.1,3.2,6,999,99
97,1,4,15,247,3.6,4,0.54,5.26,4.8,53,1017,3.1,6,999,99
97,1,4,16,261,3.1,3.6,0.49,5.26,4.7,60,1017.2,3.6,6,999,99
97,1,4,17,296,1.8,2.5,0.49,5.26,4.81,70,1016.4,4.1,6,999,99
97,1,4,18,342,1.4,2.3,0.47,5.26,4.8,76,1015.9,4.3,6.2,999,99
97,1,4,19,8,1.3,2.1,0.53,5.26,4.89,71,1016.3,4.7,6.2,999,99
97,1,4,20,62,1.8,2.2,0.57,5,4.84,68,1016.5,4.7,6.3,999,99
97,1,4,21,58,1.9,2.6,0.55,5,4.78,77,1016.5,4.4,6.2,999,99
97,1,4,22,58,2.6,3.4,0.48,5,4.74,80,1016.7,4.3,6,999,99
97,1,4,23,104,2.6,3.2,0.48,5,4.69,74,1017.2,4.4,6,999,99
97,1,5,0,98,3,3.5,0.47,4.76,4.83,77,1017.2,4.7,6,999,99
97,1,5,1,100,4.7,5.5,0.44,5,5.04,82,1016.4,4.7,6,999,99
97,1,5,2,128,4.5,5.2,0.41,4.76,4.95,82,1016.6,4.8,6,999,99
97,1,5,3,122,5.1,6,0.44,4.76,4.88,78,1016.4,5.1,6,999,99
97,1,5,4,130,4.3,5.1,0.44,8.33,4.61,93,1016.4,5.1,6,999,99
97,1,5,5,117,4.5,5.3,0.47,8.33,4.35,91,1015,5.5,6,999,99
97,1,5,6,114,5.4,6.1,0.46,8.33,4.06,83,1014.2,5.5,6,999,99
97,1,5,7,118,6.1,6.8,0.52,2.7,3.81,88,1013.4,5.7,6,999,99
97,1,5,8,123,5.8,6.6,0.58,8.33,3.78,93,1012.7,5.9,6,999,99
97,1,5,9,118,6.6,8,0.62,3.45,3.77,85,1011.7,6,6,999,99
97,1,5,10,115,7.1,8.2,0.75,3.57,3.78,85,1010.3,6.2,6,999,99
97,1,5,11,106,6.8,8,0.81,4,3.72,88,1009.6,6.3,6.1,999,99
97,1,5,12,100,5.9,6.8,0.8,4.35,3.87,97,1009.4,6.3,6.2,999,99
97,1,5,13,109,4.9,5.7,0.85,4.35,4.03,92,1008.6,6.3,6.2,999,99
97,1,5,14,110,5,6,0.82,4.35,4.15,86,1007,6.4,6.2,999,99
97,1,5,15,138,4.3,5,0.89,4.76,4.21,88,1006.3,6.6,6,999,99
97,1,5,16,190,2.4,3,0.85,4.76,4.3,89,1005.2,6.4,5.9,999,99
97,1,5,17,77,0.4,0.7,0.79,5,4.35,92,1003.4,6,5.9,999,99
97,1,5,18,107,1.7,2,0.78,5.26,4.47,82,1001.6,6.3,5.6,999,99
97,1,5,19,163,0.8,1.3,0.78,5,4.61,86,1000.3,6.6,5.6,999,99
97,1,5,20,157,3,3.7,0.8,5,4.62,88,998.6,7,5.5,999,99
97,1,5,21,158,6.9,7.7,0.84,5.26,4.42,82,997.1,8.3,5.5,999,99
97,1,5,22,180,7.4,8.8,0.89,5,4.3,89,996.1,8.8,5.5,999,99
97,1,5,23,197,5.4,6.6,0.91,5.56,4.37,90,996.1,8.3,5.6,999,99
97,1,6,0,214,2.8,3.3,0.99,5,4.21,92,996.1,7.9,5.6,999,99
97,1,6,1,213,2.8,3.3,1.05,5.88,4.82,104,996,7.9,5.6,999,99
97,1,6,2,224,3,3.9,1.12,6.67,5.2,99,995.7,7.8,5.5,999,99
97,1,6,3,211,3.6,4.1,0.91,6.67,5.12,95,995.3,7.9,5.5,999,99
97,1,6,4,245,3.6,4.2,0.84,6.67,5.24,94,995.4,7.9,5.5,999,99
97,1,6,5,284,2.7,3.2,0.76,7.14,5.36,93,996,7.3,5.5,999,99
97,1,6,6,259,2.3,3,0.69,6.67,5.58,95,996.3,7,5.5,999,99
97,1,6,7,253,1.4,1.7,0.76,6.67,5.81,102,996.3,7.1,5.5,999,99
97,1,6,8,193,3.2,3.6,0.77,6.67,5.62,101,996.2,7.1,5.5,999,99
97,1,6,9,294,3,4,0.77,6.67,5.75,103,996.2,6.6,5.5,999,99
97,1,6,10,284,7.6,8.8,0.75,6.25,5.66,100,996.8,7,5.5,999,99
97,1,6,11,270,7.6,10.1,0.77,6.67,4.42,103,997.7,6.9,5.6,999,99
97,1,6,12,262,7.9,9.8,0.8,6.67,3.97,98,998.4,6.6,5.6,999,99
97,1,6,13,267,10,11.9,0.81,3.57,3.72,287,998.6,6,5.6,999,99
97,1,6,14,271,10.5,14.8,0.88,3.57,3.59,276,999.3,5.7,5.8,999,99
97,1,6,15,273,11.9,14.8,0.99,3.7,3.61,290,999.7,5.6,5.9,999,99
97,1,6,16,273,10,12,1.03,3.7,3.72,292,1000,5.2,5.9,999,99
97,1,6,17,270,11.1,13,0.88,3.7,3.51,287,1000.1,5.4,5.9,999,99
97,1,6,18,261,11.4,13.9,0.96,3.57,3.58,287,999.6,5.5,5.8,999,99
97,1,6,19,274,12,15.1,1.13,4.17,3.76,283,1000,5.2,5.8,999,99
97,1,6,20,273,12.5,14.9,1.15,4.76,3.87,288,1000.5,4.7,5.8,999,99
97,1,6,21,268,12,15,1.08,4.35,3.83,294,1001.4,4.7,5.8,999,99
97,1,6,22,272,11.5,14.2,1.19,4.35,3.87,289,1001.9,4.3,5.9,999,99
97,1,6,23,281,13.3,16,1.21,4.35,3.87,281,1002.5,3.5,5.9,999,99
97,1,7,0,269,12.9,15.9,1.25,4.55,3.98,280,1003.4,2.9,5.9,999,99
97,1,7,1,267,13.4,17.9,1.2,4.17,3.87,282,1003.7,2.4,5.9,999,99
97,1,7,2,276,13.6,16.7,1.28,4.35,3.93,281,1004.8,2.1,5.9,999,99
97,1,7,3,278,13,15.5,1.22,4.35,3.85,281,1004.5,1.7,5.9,999,99
97,1,7,4,270,11.7,15.2,1.04,4.35,3.69,282,1005.4,1.6,5.9,999,99
97,1,7,5,259,11.5,14.8,1.04,4.17,3.69,277,1004.9,1.3,5.9,999,99
97,1,7,6,258,11.6,13.9,0.89,3.85,3.45,275,1005.5,1.3,5.9,999,99
97,1,7,7,270,11.4,14.4,0.98,3.85,3.51,276,1005.6,0.9,5.9,999,99
97,1,7,8,265,11.8,14.3,1,4,3.6,280,1005.8,0.8,5.8,999,99
97,1,7,9,261,12.2,14.6,0.93,4.17,3.65,279,1005.9,0.7,5.8,999,99
97,1,7,10,251,10.5,15.3,0.93,4.17,3.6,274,1005.5,0.5,5.9,999,99
97,1,7,11,263,11.7,15.4,0.85,4,3.52,281,1005.6,0.5,5.9,999,99
97,1,7,12,246,10,12.1,0.85,3.85,3.45,277,1005.8,0.3,5.9,999,99
97,1,7,13,255,10.4,13.9,0.84,3.7,3.5,275,1005.9,0.4,5.9,999,99
97,1,7,14,248,10.5,13.1,0.87,3.7,3.51,264,1005.6,0.5,5.9,999,99
97,1,7,15,250,10,13,0.79,3.57,3.38,270,1005.6,0.9,5.9,999,99
97,1,7,16,253,11,14,0.89,3.85,3.45,264,1004.8,1.1,5.9,999,99
